,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,,,,,,,,,,,,,,,,,,,,,,,
3,222.6304,,,,,,,,,,,,,,,,,,,,,,,
4,72.5689,,,,,,,,,,,,,,,,,,,,,,,
5,38.3427,,,,,,,,,,,,,,,,,,,,,,,
6,3.8564,,,,,,,,,,,,,,,,,,,,,,,
7,5.1663,,,,,,,,,,,,,,,,,,,,,,,
8,16.2825,,,,,,,,,,,,,,,,,,,,,,,
9,27.0548,,,,,,,,,,,,,,,,,,,,,,,
10,63.5028,,,,,,,,,,,,,,,,,,,,,,,
11,141.8453,,,,,,,,,,,,,,,,,,,,,,,
12,40.4654,,,,,,,,,,,,,,,,,,,,,,,
13,99.7112,,,,,,,,,,,,,,,,,,,,,,,
14,209.4276,,,,,,,,,,,,,,,,,,,,,,,
15,8.9746,,,,,,,,,,,,,,,,,,,,,,,
16,57.5473,,,,,,,,,,,,,,,,,,,,,,,
17,3.2733,,,,,,,,,,,,,,,,,,,,,,,
18,0.8287,,,,,,,,,,,,,,,,,,,,,,,
19,5.0049,,,,,,,,,,,,,,,,,,,,,,,
20,3.7388,,,,,,,,,,,,,,,,,,,,,,,
21,6.1449,,,,,,,,,,,,,,,,,,,,,,,
22,63.985,,,,,,,,,,,,,,,,,,,,,,,
23,54.7504,,,,,,,,,,,,,,,,,,,,,,,
24,234.9162,,,,,,,,,,,,,,,,,,,,,,,
25,125.7046,-1.69,,,,,,,,,,,,,,,,,,,,,,
26,116.1445,-1.36,-1.69,,,,,,,,,,,,,,,,,,,,,
27,58.7856,-0.38,-1.36,-1.69,,,,,,,,,,,,,,,,,,,,
28,36.2573,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,,,,,,,,,
29,17.4126,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,,,,,,,,
30,0.5856,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,,,,,,,
31,2.4364,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,,,,,,
32,17.6535,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,,,,,
33,153.6081,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,,,,
34,196.1526,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,,,
35,201.9834,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,,
36,170.0752,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,,
37,111.5515,-0.07,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,,
38,49.3925,-0.58,-0.07,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,,
39,49.3122,-0.29,-0.58,-0.07,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,,
40,56.8626,-0.19,-0.29,-0.58,-0.07,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,,
41,1.7826,0.7,-0.19,-0.29,-0.58,-0.07,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,,
42,0.0207,0.1,0.7,-0.19,-0.29,-0.58,-0.07,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,,
43,5.0254,0.88,0.1,0.7,-0.19,-0.29,-0.58,-0.07,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,,
44,2.0262,0.73,0.88,0.1,0.7,-0.19,-0.29,-0.58,-0.07,0.07,-0.37,1.45,1.36,1.08,1.8,1.31,0.23,-0.5,-0.38,-1.36,-1.69,,,
