,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.25,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-0.08,0.25,,,,,,,,,,,,,,,,,,,,,
3,222.6304,-0.2,-0.08,0.25,,,,,,,,,,,,,,,,,,,,
4,72.5689,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,,,,,,,,,
5,38.3427,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,,,,,,,,
6,3.8564,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,,,,,,,
7,5.1663,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,,,,,,
8,16.2825,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,,,,,
9,27.0548,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,,,,
10,63.5028,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,,,
11,141.8453,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,,
12,40.4654,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,,
13,99.7112,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,,
14,209.4276,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,,
15,8.9746,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,,
16,57.5473,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,,
17,3.2733,-0.15,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,,
18,0.8287,-0.21,-0.15,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,,
19,5.0049,-0.05,-0.21,-0.15,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,,
20,3.7388,-0.12,-0.05,-0.21,-0.15,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,,
21,6.1449,-0.04,-0.12,-0.05,-0.21,-0.15,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,,
22,63.985,0.03,-0.04,-0.12,-0.05,-0.21,-0.15,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25,
23,54.7504,-0.06,0.03,-0.04,-0.12,-0.05,-0.21,-0.15,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08,0.25
24,234.9162,-0.1,-0.06,0.03,-0.04,-0.12,-0.05,-0.21,-0.15,-0.24,-0.08,-0.28,0.03,-0.16,-0.12,0.06,0.01,-0.06,-0.07,0.11,0.05,-0.07,-0.2,-0.08
